mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0017675399780273438,5.43725265669025e-05,0.0005295276641845703,1.5804112834145117e-05,1.0,0.1,linear,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0017509937286376953,7.208847434950894e-05,0.0009335041046142578,3.550647438542823e-05,1.0,0.1,rbf,"{'svc__C': 1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7790697674418605,0.8235294117647058,0.7972640218878249,0.015051610033815863,6
0.0017271995544433593,8.005094721200848e-05,0.0005182743072509766,1.8267531333694354e-05,1.0,0.01,linear,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0018351554870605468,6.30623947207789e-05,0.001058197021484375,1.9871927550260134e-05,1.0,0.01,rbf,"{'svc__C': 1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.8255813953488372,0.7906976744186046,0.8023255813953488,0.7790697674418605,0.8352941176470589,0.806593707250342,0.02103670067737979,1
0.0018826007843017578,0.0002602588130051572,0.0005709171295166015,8.249153290541749e-05,1.0,0.001,linear,"{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0023838043212890624,0.0005118095292132778,0.0013584613800048829,4.033923992828319e-05,1.0,0.001,rbf,"{'svc__C': 1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.7674418604651163,0.7558139534883721,0.7674418604651163,0.7558139534883721,0.7764705882352941,0.7645964432284542,0.007892431440489603,30
0.002883768081665039,0.0004436175410043902,0.0005156993865966797,1.2643829768078043e-05,10.0,scale,linear,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0030183315277099608,0.0014060490694211686,0.0009482860565185547,0.0001717784667695045,10.0,scale,rbf,"{'svc__C': 10, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.8255813953488372,0.813953488372093,0.7441860465116279,0.7790697674418605,0.8,0.7925581395348837,0.028724460756547932,27
0.0042842388153076175,0.002170748267977394,0.0005764484405517579,7.489841397174202e-05,10.0,0.1,linear,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0024811744689941405,0.0009277496657201566,0.0011492729187011718,0.00043390962038618747,10.0,0.1,rbf,"{'svc__C': 10, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7790697674418605,0.8117647058823529,0.7949110807113543,0.011184563407440447,26
0.0027323246002197267,0.0003247974964260018,0.0005039215087890625,8.708775067760361e-06,10.0,0.01,linear,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.00172119140625,9.005236062333489e-05,0.0009240150451660156,3.314467612339125e-05,10.0,0.01,rbf,"{'svc__C': 10, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.8023255813953488,0.7906976744186046,0.7790697674418605,0.7558139534883721,0.8235294117647058,0.7902872777017784,0.02264672725625247,28
0.0033022880554199217,0.0005208699087730713,0.0006929397583007813,0.00024691826101376144,10.0,0.001,linear,"{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0017842292785644532,0.00011595201241212602,0.0010331153869628906,2.4690036832907376e-05,10.0,0.001,rbf,"{'svc__C': 10, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.8255813953488372,0.7906976744186046,0.8023255813953488,0.7790697674418605,0.8352941176470589,0.806593707250342,0.02103670067737979,1
0.010556602478027343,0.0015135580465779571,0.0005636215209960938,2.7794330351457024e-05,100.0,scale,linear,"{'svc__C': 100, 'svc__gamma': 'scale', 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.006517982482910157,0.0007490365138687782,0.0010059833526611327,0.00027760813131251223,100.0,scale,rbf,"{'svc__C': 100, 'svc__gamma': 'scale', 'svc__kernel': 'rbf'}",0.813953488372093,0.8255813953488372,0.7441860465116279,0.7906976744186046,0.7764705882352941,0.7901778385772913,0.028712705319744587,29
0.010222244262695312,0.0016672604206410479,0.00056304931640625,4.1743709453219706e-05,100.0,0.1,linear,"{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.002887058258056641,0.00010923062311912762,0.0008896827697753906,3.099023350602009e-05,100.0,0.1,rbf,"{'svc__C': 100, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.813953488372093,0.813953488372093,0.7790697674418605,0.7790697674418605,0.8,0.7972093023255814,0.015662751851611825,7
0.011562919616699219,0.002959498150988259,0.0006222248077392579,7.68085943422664e-05,100.0,0.01,linear,"{'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0027245044708251952,0.0011219428487096992,0.0011013507843017577,0.0003702932857167484,100.0,0.01,rbf,"{'svc__C': 100, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.7906976744186046,0.8023255813953488,0.7906976744186046,0.7906976744186046,0.8235294117647058,0.7995896032831737,0.012789051592361416,3
0.010205745697021484,0.001649393805063039,0.0005737781524658203,5.572808740509094e-05,100.0,0.001,linear,"{'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.8023255813953488,0.7906976744186046,0.7906976744186046,0.7558139534883721,0.8352941176470589,0.7949658002735978,0.02549447180726282,10
0.0025209903717041014,0.0010365963015079695,0.0011271953582763672,0.0003485718895186089,100.0,0.001,rbf,"{'svc__C': 100, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.8023255813953488,0.7906976744186046,0.8023255813953488,0.7558139534883721,0.8352941176470589,0.7972913816689466,0.02552938816098283,5
